 Year_name,Price,Kms,Fuel,Ownership,Type,Model,Year,Name
2014 Hyundai Grand i10,"3,63,000","44,523 km",Petrol,2,Manual,SPORTZ 1.2 KAPPA VTVT,2014 ,Hyundai Grand i10
2017 Hyundai Grand i10,"4,82,000","63,011 km",Petrol,1,Manual,SPORTZ 1.2 KAPPA VTVT,2017 ,Hyundai Grand i10
2014 Hyundai Grand i10,"3,34,000","96,601 km",Petrol,2,Manual,SPORTZ 1.2 KAPPA VTVT,2014 ,Hyundai Grand i10
2017 Hyundai Grand i10,"3,83,000","28,399 km",Petrol,2,Manual,ERA 1.2 KAPPA VTVT,2017 ,Hyundai Grand i10
2016 Hyundai Grand i10,"3,95,000","35,432 km",Petrol,2,Manual,SPORTZ 1.2 KAPPA VTVT,2016 ,Hyundai Grand i10
2019 Hyundai Grand i10,"5,11,000","44,790 km",CNG,2,Manual,MAGNA 1.2 KAPPA VTVT CNG,2019 ,Hyundai Grand i10
2013 Hyundai Grand i10,"2,95,000","1,17,857 km",Petrol,1,Manual,ASTA (O) 1.2 KAPPA VTVT,2013 ,Hyundai Grand i10
2017 Hyundai Grand i10,"4,70,000","75,078 km",CNG,1,Manual,SPORTZ 1.2 KAPPA VTVT,2017 ,Hyundai Grand i10
2016 Hyundai Grand i10,"4,56,000","9,560 km",Petrol,1,Manual,MAGNA 1.2 KAPPA VTVT,2016 ,Hyundai Grand i10
2014 Hyundai Grand i10,"3,87,000","70,624 km",Petrol,1,Manual,SPORTS EDITION 1.2L KAPPA VTVT,2014 ,Hyundai Grand i10
2016 Hyundai Grand i10,"5,39,000","29,966 km",Petrol,1,Manual,ASTA 1.2 KAPPA VTVT,2016 ,Hyundai Grand i10
2018 Hyundai Grand i10,"5,70,000","15,739 km",CNG,1,Automatic,SPORTZ AT 1.2 KAPPA VTVT,2018 ,Hyundai Grand i10
2015 Hyundai Grand i10,"3,99,000","82,117 km",Petrol,2,Manual,ASTA 1.2 KAPPA VTVT,2015 ,Hyundai Grand i10
2015 Hyundai Grand i10,"4,04,000","53,734 km",Petrol,1,Manual,ASTA 1.2 KAPPA VTVT,2015 ,Hyundai Grand i10
2015 Hyundai Grand i10,"4,52,000","34,900 km",Petrol,2,Automatic,ASTA 1.2 AT VTVT,2015 ,Hyundai Grand i10
2018 Hyundai Grand i10,"4,94,000","15,290 km",Petrol,2,Manual,SPORTZ 1.2 KAPPA VTVT,2018 ,Hyundai Grand i10
2016 Hyundai Grand i10,"4,02,000","40,736 km",Petrol,2,Manual,SPORTZ 1.2 KAPPA VTVT,2016 ,Hyundai Grand i10
2017 Hyundai Grand i10,"4,42,000","17,332 km",Petrol,2,Manual,SPORTZ 1.2 KAPPA VTVT,2017 ,Hyundai Grand i10
2014 Hyundai Grand i10,"3,31,000","37,755 km",Petrol,2,Manual,MAGNA 1.2 KAPPA VTVT,2014 ,Hyundai Grand i10
2017 Hyundai Grand i10,"4,61,000","39,616 km",Petrol,1,Manual,MAGNA 1.2 KAPPA VTVT,2017 ,Hyundai Grand i10
2016 Hyundai Grand i10,"5,28,000","19,168 km",Petrol,1,Manual,ASTA 1.2 KAPPA VTVT,2016 ,Hyundai Grand i10
2014 Hyundai Grand i10,"3,78,000","42,182 km",Petrol,1,Manual,SPORTZ 1.2 KAPPA VTVT,2014 ,Hyundai Grand i10
